country,region,population_millions,gdp_usd_billions,renewable_energy_percent,solar_capacity_gw,wind_capacity_gw,hydro_capacity_gw,nuclear_capacity_gw,coal_consumption_mtoe,natural_gas_consumption_mtoe,oil_consumption_mtoe,co2_emissions_mt,temperature_anomaly_celsius,renewable_investment_usd_billions,ev_adoption_percent,carbon_price_usd_per_ton,forest_coverage_percent,air_quality_index,energy_efficiency_score
United States,North America,335.8,28000.5,42.3,180.2,150.4,79.8,95.5,485.2,1650.8,850.4,4800.2,1.8,85.4,18.5,45.2,33.9,52,78.5
China,Asia,1425.7,19500.3,31.8,350.8,380.2,420.1,57.1,3200.5,380.2,720.8,11500.8,1.6,125.8,8.2,15.8,23.2,78,65.2
India,Asia,1428.6,4200.8,28.5,85.4,78.9,180.5,7.8,950.2,65.8,220.4,2800.4,1.9,35.2,3.8,8.5,21.8,168,58.9
Germany,Europe,83.2,4850.2,65.8,68.5,70.2,5.6,8.1,180.5,95.8,110.2,680.5,2.1,18.5,35.2,85.4,32.1,35,85.2
Japan,Asia,124.8,4200.5,28.9,105.8,8.5,95.2,31.2,350.8,105.2,180.5,1050.8,1.7,12.5,8.5,5.2,68.5,28,82.1
United Kingdom,Europe,67.5,3500.2,58.9,18.5,28.9,1.8,5.8,25.8,35.2,68.5,320.5,2.3,8.9,28.5,45.8,13.2,42,81.5
France,Europe,68.2,2950.8,35.2,20.8,22.5,25.2,61.2,15.2,45.8,85.2,280.5,2.0,5.8,25.8,95.2,31.8,38,83.8
Brazil,South America,216.4,2500.5,85.2,25.8,28.9,95.8,1.3,25.8,15.2,280.5,420.8,1.5,8.5,5.2,12.5,60.2,55,72.5
Canada,North America,39.8,2200.5,75.8,8.9,18.5,385.2,13.5,28.9,125.8,250.8,580.5,2.2,12.8,15.8,65.2,38.7,28,79.8
Russia,Europe/Asia,144.4,2100.8,20.5,2.5,2.8,55.2,30.5,125.8,450.2,180.5,1680.5,2.8,2.5,1.8,5.2,49.8,65,52.8
